id,special,date,time,알라딘,지니,자스민,술탄,자파,밥칵
1,프리뷰,11/17(일),19:00,김준수,정원영,최지혜,이상준,윤선용,방보용
2,프리뷰,11/19(화),19:30,박강현,강홍석,이성경,황만익,임별,방보용
3,프리뷰,11/20(수),19:30,서경수,정성화,민경아,이상준,임별,양병철
4,프리뷰,11/21(목),19:30,김준수,강홍석,최지혜,황만익,윤선용,양병철
5,첫공,11/22(금),19:30,김준수,정성화,이성경,이상준,윤선용,방보용
6,,11/23(토),14:00,박강현,정원영,최지혜,황만익,임별,양병철
7,,11/23(토),19:00,김준수,정성화,민경아,황만익,임별,양병철
8,,11/24(일),14:00,박강현,정원영,민경아,이상준,윤선용,방보용
9,,11/24(일),19:00,김준수,강홍석,최지혜,이상준,윤선용,방보용
10,,11/26(화),19:30,박강현,강홍석,이성경,이상준,윤선용,양병철
11,,11/27(수),19:30,김준수,정성화,민경아,황만익,임별,방보용
12,,11/28(목),19:30,김준수,정원영,최지혜,황만익,윤선용,방보용
13,,11/29(금),14:30,박강현,정원영,민경아,이상준,임별,양병철
14,,11/29(금),19:30,김준수,정성화,민경아,이상준,임별,양병철
15,,11/30(토),14:00,박강현,정원영,최지혜,황만익,윤선용,방보용
16,,11/30(토),19:00,김준수,정성화,이성경,황만익,윤선용,방보용
17,,12/01(일),15:00,박강현,정원영,최지혜,이상준,임별,양병철
18,,12/03(화),19:30,김준수,강홍석,최지혜,이상준,임별,양병철
19,,12/04(수),19:30,박강현,정원영,민경아,황만익,윤선용,방보용
20,,12/05(목),19:30,박강현,강홍석,이성경,황만익,임별,양병철
21,,12/06(금),14:30,김준수,정성화,민경아,이상준,윤선용,방보용
22,,12/06(금),19:30,김준수,정원영,민경아,이상준,윤선용,방보용
23,,12/07(토),14:00,박강현,정성화,최지혜,황만익,임별,양병철
24,,12/07(토),19:00,김준수,정원영,이성경,황만익,임별,양병철
25,,12/08(일),15:00,박강현,정성화,최지혜,이상준,윤선용,방보용
26,,12/10(화),19:30,김준수,강홍석,이성경,이상준,임별,방보용
27,,12/11(수),19:30,김준수,정성화,이성경,황만익,윤선용,양병철
28,전관,12/12(목),19:30,김준수,강홍석,민경아,황만익,임별,방보용
