id,special,date,time,알라딘,지니,자스민,술탄,자파,밥칵
1,첫공,07/11(금),19:30,서경수,강홍석,최지혜,황만익,임별,양병철
2,,07/12(토),14:00,김준수,정원영,민경아,이상준,윤선용,방보용
3,,07/12(토),19:00,박강현,정성화,민경아,이상준,윤선용,방보용
4,,07/13(일),15:00,서경수,정원영,이성경,황만익,임별,양병철
5,,07/15(화),19:30,서경수,정성화,최지혜,이상준,윤선용,방보용
6,,07/16(수),14:30,박강현,정원영,이성경,황만익,윤선용,양병철
7,,07/16(수),19:30,박강현,강홍석,최지혜,황만익,윤선용,양병철
8,,07/17(목),19:30,김준수,정성화,민경아,이상준,임별,방보용
9,,07/18(금),14:30,서경수,정원영,이성경,이상준,임별,방보용
10,,07/18(금),19:30,서경수,강홍석,이성경,이상준,임별,방보용
11,,07/19(토),14:00,김준수,정성화,민경아,황만익,윤선용,양병철
12,,07/19(토),19:00,김준수,강홍석,민경아,황만익,윤선용,양병철
13,,07/20(일),15:00,박강현,정원영,최지혜,이상준,임별,방보용
14,,07/22(화),19:30,박강현,정성화,이성경,이상준,임별,양병철
15,,07/23(수),19:30,김준수,정원영,최지혜,황만익,임별,방보용
16,,07/24(목),19:30,김준수,강홍석,이성경,이상준,윤선용,양병철
17,,07/25(금),14:30,서경수,정성화,최지혜,황만익,윤선용,방보용
18,,07/25(금),19:30,서경수,강홍석,민경아,황만익,윤선용,방보용
19,,07/26(토),14:00,박강현,정원영,이성경,이상준,임별,양병철
20,,07/26(토),19:00,박강현,강홍석,최지혜,이상준,임별,양병철
21,,07/27(일),15:00,서경수,정성화,민경아,황만익,윤선용,방보용
22,,07/29(화),19:30,서경수,강홍석,이성경,이상준,윤선용,방보용
23,,07/30(수),14:30,박강현,정성화,이성경,이상준,윤선용,양병철
24,,07/30(수),19:30,박강현,정원영,이성경,황만익,윤선용,양병철
25,,07/31(목),19:30,김준수,정원영,민경아,황만익,임별,방보용
26,,08/01(금),14:30,서경수,정성화,최지혜,이상준,임별,양병철
27,,08/01(금),19:30,김준수,강홍석,최지혜,이상준,임별,양병철
28,,08/02(토),14:00,서경수,정원영,민경아,황만익,윤선용,방보용
29,,08/02(토),19:00,박강현,강홍석,민경아,황만익,윤선용,방보용
30,,08/03(일),15:00,김준수,정성화,최지혜,이상준,임별,양병철
31,,08/05(화),19:30,김준수,정원영,이성경,이상준,임별,양병철
32,,08/06(수),19:30,박강현,강홍석,최지혜,이상준,윤선용,방보용
33,,08/07(목),19:30,박강현,정성화,민경아,황만익,임별,방보용
34,,08/08(금),14:30,김준수,강홍석,이성경,황만익,윤선용,양병철
35,,08/08(금),19:30,서경수,정성화,이성경,황만익,윤선용,양병철
36,,08/09(토),14:00,김준수,정원영,민경아,이상준,임별,방보용
37,,08/09(토),19:00,서경수,강홍석,민경아,이상준,임별,방보용
38,,08/10(일),15:00,박강현,정성화,최지혜,황만익,윤선용,양병철
39,,08/12(화),19:30,김준수,정원영,이성경,황만익,윤선용,양병철
40,,08/13(수),14:30,박강현,강홍석,최지혜,이상준,임별,방보용
41,,08/13(수),19:30,서경수,정원영,최지혜,이상준,임별,방보용
42,,08/14(목),19:30,서경수,강홍석,민경아,황만익,임별,양병철
43,NOL스테이지,08/15(금),14:00,김준수,정원영,이성경,이상준,윤선용,방보용
44,NOL스테이지,08/15(금),19:00,김준수,강홍석,이성경,이상준,윤선용,방보용
45,NOL스테이지,08/16(토),14:00,박강현,정성화,민경아,황만익,임별,양병철
46,NOL스테이지,08/16(토),19:00,박강현,정원영,민경아,황만익,임별,양병철
47,NOL스테이지,08/17(일),15:00,서경수,정성화,최지혜,이상준,윤선용,방보용
48,,08/19(화),19:30,김준수,정원영,최지혜,이상준,윤선용,양병철
49,,08/20(수),19:30,김준수,강홍석,최지혜,이상준,임별,양병철
50,,08/21(목),19:30,서경수,강홍석,이성경,황만익,윤선용,방보용
51,,08/22(금),14:30,김준수,정성화,민경아,황만익,임별,양병철
52,,08/22(금),19:30,서경수,정원영,민경아,황만익,임별,양병철
53,,08/23(토),14:00,박강현,정성화,최지혜,이상준,윤선용,방보용
54,,08/23(토),19:00,박강현,강홍석,이성경,이상준,윤선용,방보용
55,,08/24(일),15:00,서경수,정성화,민경아,황만익,임별,방보용
56,,08/26(화),19:30,김준수,정원영,최지혜,이상준,임별,방보용
57,,08/27(수),14:30,김준수,강홍석,이성경,황만익,임별,양병철
58,,08/27(수),19:30,김준수,정원영,이성경,황만익,임별,양병철
59,,08/28(목),19:30,박강현,강홍석,최지혜,황만익,윤선용,방보용
60,,08/29(금),14:30,서경수,정성화,민경아,이상준,윤선용,양병철
61,,08/29(금),19:30,서경수,정원영,민경아,이상준,윤선용,양병철
62,,08/30(토),14:00,박강현,정성화,최지혜,황만익,임별,방보용
63,,08/30(토),19:00,박강현,강홍석,민경아,황만익,임별,방보용
64,,08/31(일),15:00,서경수,정성화,이성경,이상준,윤선용,양병철
65,,09/02(화),19:30,박강현,강홍석,이성경,이상준,윤선용,방보용
66,,09/03(수),19:30,박강현,강홍석,이성경,황만익,임별,방보용
67,,09/04(목),19:30,서경수,정원영,최지혜,황만익,윤선용,양병철
68,,09/05(금),14:30,김준수,정성화,민경아,황만익,임별,양병철
69,,09/05(금),19:30,김준수,강홍석,민경아,이상준,임별,양병철
70,,09/06(토),14:00,서경수,정성화,최지혜,황만익,윤선용,방보용
71,,09/06(토),19:00,김준수,정원영,이성경,황만익,윤선용,방보용
72,,09/07(일),15:00,박강현,정성화,민경아,이상준,임별,양병철
